G/L Account	Company Code	Chart of Accounts	Tax Category	Language Key	Short Text	G/L Acct Long Text	Hierarchy Level	ID	Text	IDoc number	Message Text
201918	5000	DCOA	-	EN	Compass Travel Mil	ADF Travel Conditions of Service - Compassionate	0	0		0	
201919	1000	DCOA	-	EN	T&S-Oth Cond Mil	Travel ADF - Other conditions of service	0	0		0	
201919	5000	DCOA	-	EN	T&S-Oth Cond Mil	Travel ADF - Other conditions of service	0	0		0	
201920	1000	DCOA	-	EN	Leave Trv oth Mil	Travel ADF - Other leave	0	0		0	
201920	5000	DCOA	-	EN	Leave Trv oth Mil	Travel ADF - Other leave	0	0		0	
201922	1000	DCOA	-	EN	ADF WF over program	ADF Workforce Over Programming	0	0		0	
202000	2000	DCOA		EN	Super interest-MSBS	Superannuation interest - MSBS	0	0		0	
202001	2000	DCOA		EN	Super interst-ADFCvr	Superannuation interest - ADF Cover	0	0		0	
202002	2000	DCOA		EN	Super interst -DFRDB	Superannuation interest - DFRDB	0	0		0	
202003	2000	DCOA		EN	Super interest-DFRB	Superannuation interest - DFRB	0	0		0	
202100	2000	DCOA		EN	Super mem accr-MSBS	Superannuation member accruals - MSBS	0	0		0	
202101	2000	DCOA		EN	Super mem acc-ADFCvr	Superannuation member accruals - ADF Cover	0	0		0	
202102	2000	DCOA		EN	Super mem accr-DFRDB	Superannuation member accruals - DFRDB	0	0		0	
202200	2000	DCOA	-	EN	Retention bonus	Retention bonus	0	0		0	
210003	1000	DCOA		EN	Inv Consumption	Inventory consumption	0	0		0	
210003	5000	DCOA		EN	Inv Consumption	Inventory consumption	0	0		0	
210100	1000	DCOA	-	EN	Purchminor asst&cons	Purchases - minor assets & consumables	0	0		0	
210100	5000	DCOA	-	EN	Purchminor asst&cons	Purchases - minor assets & consumables	0	0		0	
210102	1000	DCOA	-	EN	Furniture&Fittings	Furniture and Fittings	0	0		0	
210102	5000	DCOA	-	EN	Furniture&Fittings	Furniture and Fittings	0	0		0	
210200	1000	DCOA	-	EN	"Print, publica&media"	"Printing, publications & media"	0	0		0	
210200	5000	DCOA	-	EN	"Print, publica&media"	"Printing, publications & media"	0	0		0	
210201	1000	DCOA	-	EN	consu str non SDSS	Direct pur & use of consumable stores non SDSS	0	0		0	
210201	5000	DCOA	-	EN	consu str non SDSS	Direct pur & use of consumable stores non SDSS	0	0		0	
210202	1000	DCOA	-	EN	Stationery	Stationery	0	0		0	
210202	5000	DCOA	-	EN	Stationery	Stationery	0	0		0	
210203	1000	DCOA	-	EN	Prizes & awards	Prizes & awards	0	0		0	
210203	5000	DCOA	-	EN	Prizes & awards	Prizes & awards	0	0		0	
210204	1000	DCOA	-	EN	Official gifts	Official gifts	0	0		0	
210204	5000	DCOA	-	EN	Official gifts	Official gifts	0	0		0	
210205	1000	DCOA	-	EN	Promotional goods	Promotional goods	0	0		0	
210205	5000	DCOA	-	EN	Promotional goods	Promotional goods	0	0		0	
210206	1000	DCOA	-	EN	non SES opr costs	Leased vehicle non SES operating costs	0	0		0	
210206	5000	DCOA	-	EN	non SES opr costs	Leased vehicle non SES operating costs	0	0		0	
210207	1000	DCOA	-	EN	DCP act - Mater	DCP activities - Mater	0	0		0	
210207	5000	DCOA	-	EN	DCP act - Mater	DCP activities - Mater	0	0		0	
210208	1000	DCOA	-	EN	Certif/Lice/Officdoc	Certificate/licences & oth official documentation	0	0		0	
210208	5000	DCOA	-	EN	Certif/Lice/Officdoc	Certificate/licences & oth official documentation	0	0		0	
210209	1000	DCOA	-	EN	DCP act - Stipend	DCP activities - Stipend	0	0		0	
210209	5000	DCOA	-	EN	DCP act - Stipend	DCP activities - Stipend	0	0		0	
210210	1000	DCOA	-	EN	VehOpCosts-DefOwned	Vehicle oper costs - Defence owned	0	0		0	
210210	5000	DCOA	-	EN	VehOpCosts-DefOwned	Vehicle oper costs - Defence owned	0	0		0	
210211	1000	DCOA	-	EN	Spt to OPS & EX-Good	Spt to OPS & EX - Goods - HQJOC only	0	0		0	
210211	5000	DCOA	-	EN	Spt to OPS & EX-Good	Spt to OPS & EX - Goods - HQJOC only	0	0		0	
210212	1000	DCOA	-	EN	LsdVehSESOpCost	Leased vehicle SES operating costs	0	0		0	
210212	5000	DCOA	-	EN	LsdVehSESOpCost	Leased vehicle SES operating costs	0	0		0	
210214	1000	DCOA	-	EN	DCP trav - non APS/A	DCP travel - non APS/ADF	0	0		0	
210214	5000	DCOA	-	EN	DCP trav - non APS/A	DCP travel - non APS/ADF	0	0		0	
210215	1000	DCOA	-	EN	Purchases - OP&E	Purchases - OP&E	0	0		0	
210215	5000	DCOA	-	EN	Purchases - OP&E	Purchases - OP&E	0	0		0	
210216	1000	DCOA	-	EN	Software Other	Software Other	0	0		0	
210216	5000	DCOA	-	EN	Software Other	Software Other	0	0		0	
210218	1000	DCOA	-	EN	Purchases - SME	Purchases - SME	0	0		0	
210218	5000	DCOA	-	EN	Purchases - SME	Purchases - SME	0	0		0	
210219	1000	DCOA	-	EN	OP&EdCASG4Def <ths	OP&E purchases by CASG for Defence below threshold	0	0		0	
210219	5000	DCOA	-	EN	OP&EdCASG4Def <ths	OP&E purchases by CASG for Defence below threshold	0	0		0	
210220	1000	DCOA	-	EN	Purch-other intang	Purchases - other intangibles	0	0		0	
210220	5000	DCOA	-	EN	Purch-other intang	Purchases - other intangibles	0	0		0	
210221	1000	DCOA		EN	Mat price diff	Material price Differences	0	0		0	
210221	5000	DCOA		EN	Mat price diff	Material price Differences	0	0		0	
210222	1000	DCOA	-	EN	Inv consump-GSI	Inventory consumption - GSI	0	0		0	
210222	5000	DCOA	-	EN	Inv consump-GSI	Inventory consumption - GSI	0	0		0	
210223	1000	DCOA	-	EN	Purchases - fuel	Purchases - fuel	0	0		0	
210223	5000	DCOA	-	EN	Purchases - fuel	Purchases - fuel	0	0		0	
210224	1000	DCOA	-	EN	Excise duty	Excise duty	0	0		0	
210224	5000	DCOA	-	EN	Excise duty	Excise duty	0	0		0	
210225	1000	DCOA	-	EN	Purchases - GSI	Purchases - GSI	0	0		0	
210225	5000	DCOA	-	EN	Purchases - GSI	Purchases - GSI	0	0		0	
210300	1000	DCOA	-	EN	Lic fees & permits	Licence fees & permits	0	0		0	
210300	5000	DCOA	-	EN	Lic fees & permits	Licence fees & permits	0	0		0	
210400	1000	DCOA	-	EN	Gas	Gas	0	0		0	
210400	5000	DCOA	-	EN	Gas	Gas	0	0		0	
210401	1000	DCOA	-	EN	Light and power	Light and power	0	0		0	
210401	5000	DCOA	-	EN	Light and power	Light and power	0	0		0	
210402	1000	DCOA	-	EN	Water	Water	0	0		0	
210402	5000	DCOA	-	EN	Water	Water	0	0		0	
210403	1000	DCOA	-	EN	Liq Petroleum Prod	Liquid petroleum products	0	0		0	
210403	5000	DCOA	-	EN	Liq Petroleum Prod	Liquid petroleum products	0	0		0	
211000	1000	DCOA	-	EN	Engineering change	Engineering change	0	0		0	
211000	5000	DCOA	-	EN	Engineering change	Engineering change	0	0		0	
211001	1000	DCOA	-	EN	Repairs&maintenance	Repairs & maintenance	0	0		0	
211001	5000	DCOA	-	EN	Repairs&maintenance	Repairs & maintenance	0	0		0	
211004	1000	DCOA	-	EN	Certification	Certification	0	0		0	
211004	5000	DCOA	-	EN	Certification	Certification	0	0		0	
211005	1000	DCOA	-	EN	R&M-Mat Support Cont	R&M - Material Support Contracts	0	0		0	
211005	5000	DCOA	-	EN	R&M-Mat Support Cont	R&M - Material Support Contracts	0	0		0	
211006	1000	DCOA	-	EN	R&M-Tech Services	R&M - Technical Services	0	0		0	
211006	2000	DCOA	-	EN	R&M-Tech Services	R&M - Technical Services	0	0		0	
211006	3000	DCOA	-	EN	R&M-Tech Services	R&M - Technical Services	0	0		0	
211006	5000	DCOA	-	EN	R&M-Tech Services	R&M - Technical Services	0	0		0	
211006	5100	DCOA	-	EN	R&M-Tech Services	R&M - Technical Services	0	0		0	
211100	1000	DCOA	-	EN	Pest control	Pest control	0	0		0	
211100	5000	DCOA	-	EN	Pest control	Pest control	0	0		0	
211101	1000	DCOA	-	EN	Helpdesk Services	Helpdesk Services	0	0		0	
211101	5000	DCOA	-	EN	Helpdesk Services	Helpdesk Services	0	0		0	
211102	1000	DCOA	-	EN	Range Services	Range Services	0	0		0	
211102	5000	DCOA	-	EN	Range Services	Range Services	0	0		0	
211103	1000	DCOA	-	EN	Petrol oil & mgt ser	Petrol oil & management services	0	0		0	
211103	5000	DCOA	-	EN	Petrol oil & mgt ser	Petrol oil & management services	0	0		0	
211104	1000	DCOA	-	EN	Municipal Services	Municipal Services	0	0		0	
211104	5000	DCOA	-	EN	Municipal Services	Municipal Services	0	0		0	
211105	1000	DCOA	-	EN	Airfield oper supp	Airfield operations support	0	0		0	
211105	5000	DCOA	-	EN	Airfield oper supp	Airfield operations support	0	0		0	
211106	1000	DCOA	-	EN	Catering - Base Mgt	Catering- Base Management	0	0		0	
211106	5000	DCOA	-	EN	Catering - Base Mgt	Catering- Base Management	0	0		0	
211107	1000	DCOA	-	EN	Recreation Services	Recreation Services	0	0		0	
211107	5000	DCOA	-	EN	Recreation Services	Recreation Services	0	0		0	
211108	1000	DCOA	-	EN	transport	transport	0	0		0	
211108	5000	DCOA	-	EN	transport	transport	0	0		0	
211109	1000	DCOA	-	EN	Garr supp cont (B)	Garrison support contracts	0	0		0	
211109	5000	DCOA	-	EN	Garr supp cont (B)	Garrison support contracts	0	0		0	
211110	1000	DCOA	-	EN	Rations	Rations	0	0		0	
211110	5000	DCOA	-	EN	Rations	Rations	0	0		0	
211111	1000	DCOA	-	EN	Purch in-flight rtns	Purchase of in-flight rations	0	0		0	
211111	5000	DCOA	-	EN	Purch in-flight rtns	Purchase of in-flight rations	0	0		0	
211112	1000	DCOA	-	EN	Rations - Other	Rations - Other	0	0		0	
211112	5000	DCOA	-	EN	Rations - Other	Rations - Other	0	0		0	
211113	1000	DCOA	-	EN	RationsExpOSPost	Rations expenses at overseas posts	0	0		0	
211113	5000	DCOA	-	EN	RationsExpOSPost	Rations expenses at overseas posts	0	0		0	
211200	1000	DCOA	-	EN	Conferences&seminars	Conferences & seminars	0	0		0	
211200	5000	DCOA	-	EN	Conferences&seminars	Conferences & seminars	0	0		0	
211201	1000	DCOA	-	EN	Training	Training	0	0		0	
211201	5000	DCOA	-	EN	Training	Training	0	0		0	
211202	1000	DCOA	-	EN	Training rel travel	Training related travel	0	0		0	
211202	5000	DCOA	-	EN	Training rel travel	Training related travel	0	0		0	
211203	1000	DCOA	-	EN	ADF Tng Military	ADF Training - Military	0	0		0	
211203	5000	DCOA	-	EN	ADF Tng Military	ADF Training - Military	0	0		0	
211204	1000	DCOA	-	EN	APS Separation Trnig	Training Related Travel	0	0		0	
211204	5000	DCOA	-	EN	APS Separation Trnig	Training Related Travel	0	0		0	
211205	1000	DCOA	-	EN	ADF CseCost Non FBTR	ADF DEAS Approved Course Costs- Non FBT Reportable	0	0		0	
211205	5000	DCOA	-	EN	ADF CseCost Non FBTR	ADF DEAS Approved Course Costs- Non FBT Reportable	0	0		0	
211206	1000	DCOA	-	EN	APS CseCost Non FBTR	APS DEAS Approved Course Costs - Non FBT Reportabl	0	0		0	
211206	5000	DCOA	-	EN	APS CseCost Non FBTR	APS DEAS Approved Course Costs - Non FBT Reportabl	0	0		0	
211207	1000	DCOA	-	EN	ADF CTT-FinCounsel	ADF CTT - Financial counselling	0	0		0	
211207	5000	DCOA	-	EN	ADF CTT-FinCounsel	ADF CTT - Financial counselling	0	0		0	
211208	1000	DCOA	-	EN	ADF Trnig - Sep	ADF training - separation	0	0		0	
211208	5000	DCOA	-	EN	ADF Trnig - Sep	ADF training - separation	0	0		0	
211209	1000	DCOA	-	EN	ADF Cse Cost FBTR	"ADF DEAS Apvd Cse Costs (HECS, HELP, CSP) FBT Repo"	0	0		0	
211209	5000	DCOA	-	EN	ADF Cse Cost FBTR	"ADF DEAS Apvd Cse Costs (HECS, HELP, CSP) FBT Repo"	0	0		0	
211210	1000	DCOA	-	EN	APS Cse Cost FBTR	"APS DEAS Apvd Cse Costs (HECS, HELP, CSP) FBT Repo"	0	0		0	
